Accession Number	Entrez Gene Symbol	Kinase Target	ABT-869	AMG-706	AST-487	AZD-1152HQPA	BIRB-796	BMS-387032/SNS-032	CHIR-258/TKI-258	CHIR-265/RAF-265	CI-1033	CP-690550	CP-724714	Dasatinib	EKB-569	Erlotinib	Flavopiridol	Gefitinib	GW-2580	GW-786034	Imatinib	JNJ-7706621	Lapatinib	LY-333531	MLN-518	MLN-8054	PI-103	PKC-412	PTK-787	Roscovitine	SB-202190	SB-203580	SB-431542	Sorafenib	Staurosporine	SU-14813	Sunitinib	VX-680/MK-0457	VX-745	ZD-6474
NP_001789.2	CDK2	CDK2			760			69									550					23								3400					7					
NP_001249.1	CDK3	CDK3			82			56									410					180													30					
NP_004926.1	CDK5	CDK5			1000		2000	740									110					240								1900					84					
NP_001790.1	CDK7	CDK7	2900		4.5	6200		31	2600								23					760								1800				140	45	930	330			
NP_001251.1	CDK8	CDK8	95		1.4		220	1200					2300				120																	310	510					
NP_001252.1	CDK9	CDK9	3000		190			76									6.4					470													100					
NP_001265.1	CHEK1	CHEK1							1200						1900									540				1300							3.2	1200	300			
NP_009105.1	CIT	CIT		300	52	5700	2100		8200	87	1300				310	680	110	1300						1400					8800		510	420		6200	340	94	3900			1800
AAA61480.1	CLK1	CLK1	8900		110			410	6800						3300		1700				4500	660		910	630		3900	350		1200					32	360	22			
NP_003984.2	CLK2	CLK2			1800			1100	1700						1800		2200					290		420		3200		860		700					8.2	150	20			
NP_003983.1	CLK3	CLK3													5600		1600					310				2300									910					
NP_065717.1	CLK4	CLK4	1600		290			800	6500						3900						2100	1700		1900	1600			410							9.6	250	29			
NP_005202.2	CSF1R	CSF1R	3.4	5.6	5.8	1400	8100		60	250				0.58	4300		2800		1.6	7.9	19	4200			4.9			330	18					28	12	3.6	2	1800	2600	1200
NP_004374.1	CSK	CSK			2300						6100			1	3400											9000		8700							330			4800		2500
NP_660204.1	CSNK1A1L	CSNK1A1L													1000																1900	1700	5900		250	1500	550			
NP_620693.1	CSNK1D	CSNK1D			2500			1800							1100	3500														260	59	37	170		2400	260	15			
NP_001885.1	CSNK1E	CSNK1E			4000			950						1500	100			430				3600								320	170	100	260		73	340	13			3000
NP_071331.2	CSNK1G1	CSNK1G1																				1200														1000	930			
NP_001310.2	CSNK1G2	CSNK1G2			950																	740													780	790	110			
NP_004375.2	CSNK1G3	CSNK1G3			97																	7900								2900						570	240			
NP_001886.1	CSNK2A1	CSNK2A1							1400															3600				250							36	97	81	400		
NP_001887.1	CSNK2A2	CSNK2A2							1600													2000		3400											6.5	140	370	400		
NP_004929.2	DAPK1	DAPK1																						970			2400	4700							1.4	270	120			
NP_055141.2	DAPK2	DAPK2																									2700	890							1.6	400	150			
NP_001339.1	DAPK3	DAPK3			3200													5700									840	1800							1	170	22			
NP_004725.1	DCAMKL1	DCAMKL1						1600									2100					2500													110	550	370			
NP_001035351.1	DCAMKL2	DCAMKL2						1000														4500													73		2700			
XP_047355.6	DCAMKL3	DCAMKL3						1600	1300			4.5			4900		1100					6500													17	240	110	3600		
NP_001945.3	DDR1	DDR1	58	260	0.69	1800	1.9		2500	13	400			0.69		790				57	0.7				1400	4200		7200	270		1100	1000		1.5	19		2000	28	1100	11
CAA52777.1	DDR2	DDR2	3800		11		33			960				3.2						98	15										1600	5000		6.6	42			230		320
NP_006292.2	MAP3K12	DLK			2500				2100						2600							5200													1500	560	100	190		
NP_004400.4	DMPK	DMPK												1300	59	2900	650	6900				1200		280				3800							3.5					
NP_059995.1	CDC42BPG	DMPK2					1200							1200		3400															640	400			37					2200
NP_004751.2	STK17A	DRAK1						440	830						200			2000			5300	5600				190		1900							14	24	1			
NP_004217.1	STK17B	DRAK2							1800						4200		1900	3800								8.1		4700							21	320	110			
NP_004705.1	DYRK1B	DYRK1B						200							4000		84							5400				330		1100					28	2600	2300			
NP_005219.2	EGFR	EGFR		15	520	450	7000				0.19		42	120	0.44	0.67		1					2.4		410			1300			2600	1700			370					9.5
NP_005219.2	EGFR	EGFR(E746-A750del)			1900						0.26		2000	130	0.38	0.48		0.54					8.6		330			7000			210	340			120					4.8
NP_005219.2	EGFR	EGFR(G719C)	6500	2300	220	120	6000				0.13		10	170	0.24	0.85		2					0.92		210			1500			910	710			1100	9000	6800			9.6
NP_005219.2	EGFR	EGFR(G719S)		1200	520	170	9100				0.19		17	79	0.42	0.52		1.1					2.1		230			5300			1900	1300			1100					5.9
NP_005219.2	EGFR	EGFR(L747-E749del, A750P)		1200	220	2900	5300				0.17		720	110	0.24	0.52	2300	0.57			7600		2.2		260			620			2000	1700			96					12
NP_005219.2	EGFR	EGFR(L747-S752del, P753S)		4500	550	8800					0.26		1800	320	0.27	0.47		0.57					3.9		410	6400		1700			1400	1600			300					7.9
NP_005219.2	EGFR	EGFR(L747-T751del,Sins)		2600	530	3500	6800				0.26		560	160	0.23	0.35		0.52					3.5		470			1900			1100	1500			210					8.9
NP_005219.2	EGFR	EGFR(L858R)			2600	980					0.24		110	120	0.41	0.97		0.94					2.8		400	3200		760			1900	1900			270					8.7
NP_005219.2	EGFR	EGFR(L861Q)		3900	970	510					0.22		36	110	0.44	1.2		1.4					1.2		870			2800			2300	3200			600					11
NP_005219.2	EGFR	EGFR(S752-I759del)				5200					0.19		1000	330	0.33	1.6	1400	0.98					4.2		350			1800			1700	2000			290					12
NP_005223.3	EPHA1	EPHA1					9800				2500			4.1				4000								1800								3100	300			1000		230
NP_004422.2	EPHA2	EPHA2			160		6200			2900				0.85			2500									370								2000	1200			840		1100
NP_005224.2	EPHA3	EPHA3	3500		80		880				2100			0.093	4000	2400	3300									2100								1900	27		2100	1500		2000
NP_004429.1	EPHA4 	EPHA4			400		2900				3600			1.2												420								3000	290			4300		1600
NP_004430.3	EPHA5	EPHA5			140		1400				1200			0.24												1400									95					240
NP_001073917.1	EPHA6	EPHA6	330	490	380		2000			1500	270					440		590								580					2200	1200		370	290	2000	960			50
NP_004431.1	EPHA7	EPHA7	110		1100		860									1400						3100				1000								5300	630		2400			2400
NP_065387.1	EPHA8	EPHA8			18		270			1100	2000			0.24	3300	940		1800			1400													2400	190			500		91
NP_004432.1	EPHB1	EPHB1			180		4900							0.45												330								3000	240		480	1900		290
NP_059145.2	EPHB2	EPHB2			130		440				2700			0.39																				1900	2100					440
NP_004434.2	EPHB3	EPHB3	1400											6.9												3500														
NP_004435.3	EPHB4	EPHB4	1400								1800			0.34	2800											560								1800				1700		520
NP_001005862.1	ERBB2	ERBB2				4300					87		43	1400	500			3500					7																	2600
NP_001036064.1	ERBB4	ERBB4				470					29		260	55	21	230		410					54					3100			4900				770					480
NP_002737.2	MAPK3	ERK1																																	8400					
NP_620407.1	MAPK1	ERK2																																	7300					
NP_002739.1	MAPK6	ERK3						500			1700							1600				480																		1500
NP_002738.2	MAPK4	ERK4						4100								2500		3100				1600																		
NP_002740.2	MAPk7	ERK5						650									620					520													1600					
NP_620590.2	MAPK15	ERK8	2800		94		3000	120									330					1100		88										46	35					
NP_005237.2	FER	FER			590										8800					2700						4400		1200							24	34	1100			
NP_001996.1	FES	FES			360										5700																				23		960			
NP_075593.1	FGFR1 	FGFR1		6200	620		4300		150	4700				3700						990		810				2400		1600						2800	90	1900	520	550		560
NP_075259.2	FGFR2 	FGFR2			1900				410					1400						210		680				1700		2400						2700	100	790	570	570		1100
NP_000133.1	FGFR3	FGFR3							230											740		510				1200		1700							88	560	290	860		1600
NP_000133.1	FGFR3	FGFR3(G697C)							370											620		690				1300								5900	310	380	1400	820		6900
NP_075252.2	FGFR4	FGFR4		6800	1400				4300											2800															250			7200		
NP_005239.1	FGR	FGR		6900	190				190		2800			0.5	950	1100				1600	2400	2000				220		730							17	390	270	790	1300	270
NP_002010.1	FLT1	FLT1	7.5	12	86	110	410		69	800				5000		4400				14		2100			3100	1000		450	9.6					31	150	4.7	1.8	100		260
NP_004110.2	FLT3	FLT3	0.63	71	0.79	8.2	2300		0.64	1400	2700									1100		850		1900	3			11						13	2.9	0.54	0.47	6.5		850
NP_004110.2	FLT3	FLT3(D835H)	2.7	4500	4.9	210		7400	6.1		1200			8100	3300	350	5000	1100		1100		840		210	310			6.8						30	2.1	6.3	4.3	14		560
NP_004110.2	FLT3	FLT3(D835Y)	11		11	670		3000	5.2		730				2800	130	3200	1000		810		590		130	1800			15						82	2.5	6.1	2.3	55		830
NP_004110.2	FLT3	FLT3(ITD)	8.8	1000	11	140			3.6		3000					820	4600			2500		1400		280	9.1			11						79	2.4	1.8	0.99	45		1800
NP_004110.2	FLT3	FLT3(N841I)	2.6	1100	2.3	43	5000		4.8		2400				2000	500	6500	3000		1600		1400		980	29			6						11	2.1	5.4	2.4	4.3		1200
CAA49505.1	FLT4	FLT4	16	9.7	120		7100		580	2000						2100				27		1100				3100		670	330					95	28	50	50	1900		1100
NP_002022.1	FRK 	FRK	400	99	26		1200		2300	590	3400			0.31	680	2000		2000		750	1500							2400	1800		3100	1800		510	45		530	3800		170
NP_694592.1	FYN	FYN		2800	50				440	2100				0.79	2400					2700	3100					1300		2100							33	2600	520	530	2100	360
NP_005246.1	GAK	GAK			1300			1800	490		100			2.6	6.4	3.1	370	13		200	1000	2400		1100				380			53	19			17	44	20	3200		86
NP_001013725.2	EIF2AK4	GCN2(Kin.Dom.2,S808G)		4400					250	55				1600	290	4400						3900						39							16	470	180	1900		
NP_063937.2	GSK3A	GSK3A						28									1300					160						2500							140					
NP_002084.2	GSK3B	GSK3B						37	350								730					950		2600				1800			2700	1700			69					
NP_002101.2	HCK	HCK			880	3900			3300	1200	4200			0.35	2300	1800		4400								1500		720							20	2200	880			360
NP_000866.1	IGF1R	IGF1R																																	210		2600	740		
NP_054721.1	IKBKE	IKK-epsilon							480								3100					8300						160							5.1	480	620	2600		
NP_000199.2	INSR	INSR																																	110	1200	500	630		
NP_055030.1	INSRR	INSRR	3900		1400																														81	2000	430	290		
NP_009130.1	IRAK3	IRAK3						2900			3000							1500		800		3400			730	1400		180							13	1900	940	5600		
NP_005537.3	ITK	ITK			990				530		5600				2500																				19	190	13	350		
NP_002218.2	JAK1	JAK1(Kin.Dom.1/JH2 - pseudokinase)							380													21														97	49			
NP_004963.1	JAK2	JAK2(Kin.Dom.2/JH1 - catalytic)			910				7000			5		1000								220						94							11	1600	410	190		
NP_000206.2	JAK3	JAK3(Kin.Dom.2/JH1 - catalytic)			260				8700		630	2.2			25	930				6900		180		420				12							10	580	1200	630		
NP_002741.1	MAPK8	JNK1			460																5000	1700						4400			2400	1100			220					
NP_620707.1	MAPK9	JNK2	240		56		7.3																								210	130								
NP_002744.1	MAPK10	JNK3			760		110				5500						5500	3200		1900	3100	1300						3600			42	35			110			2800		
NP_000213.1	KIT	KIT	2	3.7	5.4	17	170		7.5	200	7800			0.62						2.8	14	1800			2.7			220	5.1					31	19	0.68	0.37	240		260
NP_000213.1	KIT	KIT(D816V)	81	410	360	4600			1400	6200	3900			2.6		1600	4600	4300		500	820	2500		920	29			7.7						310	0.64	340	380	290		290
NP_000213.1	KIT	KIT(V559D)	1.7	3.2	5	15	230		7.2	170	7900			0.68		3100				2.3	15	1400			3.8			200	17					16	15	0.51	0.41	240		180
NP_000213.1	KIT	KIT(V559D,T670I)	3.8	13	18	7.9	260		26	240						1300				6.5	2900	590			1100			150						18	9.5	0.56	0.28	430		2000
NP_000213.1	KIT	KIT(V559D,V654A)	21	23	100	480	2400		3.1	850				2.7						30	71				26			1600	210					240	38	0.25	0.21	2300		560
NP_004681.1	LATS1	LATS1			470				1700															2600				1100							42	850	630	5500		
NP_055387.1	LATS2	LATS2	1700		3000				530															640				2200			1700				17	430	460			
NP_005347.3	LCK 	LCK		360	11	380	1200		250	640	320	1800		0.2	99	250		630		1200	40					590		280				2800		2700	30	2300	230	61	4600	17
NP_002305.1	LIMK1	LIMK1												570						720		620												1600	480			2600		
NP_005560.1	LIMK2	LIMK2	4700											86						390		1000					3500								9200			2600		
NP_000446.1	STK11	LKB1							3700																			350							61	360	38	1300		
BAA35073.1	STK10 	LOK	460	1100	0.92	2800	12		550	60	1900			1200	330	19		470		84		110	4400	280		3700		590						150	0.037	230	19	120		81
NP_996844.1	LTK	LTK	550		160	3200	1400									890	2200											3000							37	4200	1800	7500		550
NP_002341.1	LYN	LYN		160	14	1600	2700		750	370	810			0.57	720	530		990			890					1400		4200						3000	40	810	270	650	1700	110
NP_005913.2	MAP3K4	MAP3K4							5500		8400			310	280																				1200			2500		
NP_005914.1	MAP3K5	MAP3K5																																	110					
NP_001036065.1	MAP4K1	MAP4K1	830		210				44					980	270		3300			750		120		2600				2100							4.3	15	16	72		
NP_003609.2	MAP4K3	MAP4K3	3200		190				560					640	170		4500			1600		820		8400				120							8.2	210	180	290		1500
NP_663719.1	MAP4K4	MAP4K4			15		90		160	1300				3100	330													650				3700		4800	24	260	140	2400		1400
NP_006566.2	MAP4K5	MAP4K5	910		350	160			620	830	2600			45	10					3000		2100			780			1100						1600	18	300	41	83		450
NP_116584.2	MAPKAPK2	MAPKAPK2																																	880					
NP_003659.2	MAPKAPK5	MAPKAPK5																																						
CAH72463.1	MARK1	MARK1							2300						4000							620						170							4	1500	1200	4900		
NP_059672.2	MARK2	MARK2							1500													1200						100							0.7	440	310	1400		
NP_002367.4	MARK3	MARK3							3400											4000		600						21							3	1100	410	2500		
NP_113605.2	MARK4	MARK4							1700													660						370							5.4	2000	3600	4900		
NP_002746.1	MAP2K1	MEK1							520		1800			1000	360							1800													21	77	130	1800		1800
NP_109587.1	MAP2K2	MEK2				5700			350		1600			1400	810							5600									9600	9600			28	120	110	2000		1100
NP_002747.2	MAP2K3	MEK3																				1500						5300							5					
NP_003001.1	MAP2K4	MEK4																		590		630		930				4800							70	1400				
NP_002749.2	MAP2K6	MEK6																		4100		1000													3.4	5500		2600		
NP_055606.1	MELK	MELK			830			5600	1600												1900							280							33	340	350	240		
AAB60430.1	MERTK	MERTK	870		370		3700		1800						1300		6800			3300		2800				730		2900						3600	6.4	66	26	1700		1400
NP_000236.2	MET	MET	1300		4400						5600				6200	3800						650						690							190			670		5700
CAI14764.1	MKNK1	MKNK1	4900		26			3800			260					690		290																230	170					360
AAF17226.1	MKNK2	MKNK2	270		3		1600				1800		840				3200	1200										950						130	17	5500				1700
NP_872299.1	MLCK	MLCK						1700	2																										140	42	23	15		
NP_149132.2	MAP3K9	MLK1							9900								5700			290		3600		1400				15							10	2600	3400	390		
NP_002437.2	MAP3K10	MLK2															5200			2100								790							52			1800		
NP_002410.1	MAP3K11	MLK3							2200											740								17							20	1700	1300	680		
NP_003598.2	CDC42BPA	MRCKA					9400							2000			9500										1800					6200			57					2600
NP_006026.3	CDC42BPB	MRCKB					910							2100			3300														4200	2700			42					2500
NP_006273.1	STK4	MST1	1400						200						3600							130						40							0.19	130	19	200		
NP_006272.2	STK3	MST2	1500		860				480			4300			2400		9400					61		960				220							0.18	65	56	510		
NP_003567.2	STK24	MST3							430						2100							180													120	100	63	3600		
NP_057626.2	RP6-213H19.1	MST4							540					1900								210													140	330	340			
NP_005583.1	MUSK	MUSK	10		3.1	1500	1900		830																									130	86	100	490	300		
NP_444254.3	MYLK	MYLK							3500													2100		290			1500	2000							15	360	280			
NP_149109.1	MYLK2	MYLK2			330			980	92						3900	970		1900		2000															61	190	49	43		
NP_059129.2	MYO3A	MYO3A			41																														500					
NP_620482.1	MYO3B	MYO3B			84																														300		4500			
NP_055815.1	STK38L	NDR2																																	28	2000	970			
NP_036356.1	NEK1	NEK1													3900																				860					
NP_002488.1	NEK2	NEK2							2000						680					980															750	1100	1400			
NP_954983.1	NEK5	NEK5			1100				2300	3200																									810			4200		
NP_055212.2	NEK6	NEK6							1500																															
NP_598001.1	NEK7	NEK7							5600																										4500	3200	4100			
NP_149107.3	NEK9	NEK9							9100																										3100					
NP_057315.2	NLK	NLK			160		1000							260						4400											28	25		640	220					
NP_620581.1	MAPK14	p38-alpha			73		0.37							27																	9.8	12		370					2.8	
NP_002742.3	MAPK11	p38-beta			430		1500							410																	32	70		230					74	
AAB40118.1	MAPK12	p38-gamma			29		19																								3300	1500		7600	42					
NP_002567.3^	PAK1 	PAK1													3400													2100							0.57			4400		
NP_002568.2	PAK2	PAK2																										3300							3.1			5700		
NP_002569.1	PAK3	PAK3						3500	770													2100						180							7.1	190	16	3300		
NP_001014833.1	PAK4	PAK4																				2300													6.3		2300	4300		
NP_064553.1	PAK6	PAK6																				1400													0.57		2400			
NP_065074.1	PAK7	PAK7/PAK5																				830													1.2		640	3300		
NP_006192.1^	PCTK1	PCTK1			420	6300		7.1	430								440			1200		23			6000										24	940	150	230		
CAA47004.1	PCTK2	PCTK2			15			13	3000								480					290												1600	96		1200			
NP_002587.2	PCTK3	PCTK3			54			44									1100					2100													270		1700			
NP_006197.1	PDGFRA 	PDGFRA	4.2	10	27	38	1200		54	1100	5200			0.47		1800				4.9	31	4000			2.4			380	96					62	10	1.1	0.79	1600		230
NP_002600.1	PDGFRB	PDGFRB	1.9	9.1	8.1	41	1100		3.8	240	7500			0.63		1400				2	14	910			4.5			110	25					37	1.8	0.29	0.075	310	8400	88
NP_002604.1	PDPK1	PDPK1																				3100		700				190							1.7	2600	3500			
NP_036527.1	PFTK1	PFTK1			17			690									110					3600												2900	160		270			
NP_006204.1	PHKG1	PHKG1						3800	640						3500		2200	3700						3700				900							0.65	83	5.5	2200		1100
NP_000285.1	PHKG2	PHKG2							9000								2900											1400							0.14	100	5.9			
NP_006209.2	PIK3CA	PIK3CA																									1.5													
NP_006209.2	PIK3CA	PIK3CA(E545K)																									1.5													
NP_002639.1	PIM1	PIM1															560							270				560							3.2					
NP_006866.2	PIM2	PIM2															770							1700											1.9					
NP_001001852.1	PIM3	PIM3															600	5800						12				560							0.51	2400	2400			
AAC50911.1	PIP5K1A	PIP5K1A							1900													9200		690				310							43	130	5400	130		
NP_003550.1	PIP5K2B	PIP5K2B							260						2600							1300		830				270							77	260	39	140		
NP_002721.1	PRKACA	PKAC-alpha	6900		3700																			5400				720			1700				19					
NP_002722.1	PRKACB	PKAC-beta			260																			3200				240			530				29					
NP_872629.1	PKMYT1	PKMYT1												130	2900																									
NP_998725.1	PKN1	PKN1							180			200					3500							350				9.3							1.3	1900	710	1500		
NP_006247.1	PKN2	PKN2							9900													1900		1500				15							2.5	3800	1300			
NP_005021.2	PLK1	PLK1																				5000													190					
NP_004064.2	PLK3	PLK3	8500																			7100													910					
BAB69958.1	PLK4	PLK4				4700														290	7800	120		4700		410		66						4500	0.77	180	190	9.2		620
NP_006245.2	PRKCD	PRKCD													4600		590					4500		3.6				320							1.5					
NP_005391.1	PRKCE	PRKCE															380							11				540							0.25					
NP_006246.2	PRKCH	PRKCH															350							1800				290							4.8					
NP_006248.1	PRKCQ	PRKCQ			2200				3200								350					4400		2.5				920							8.5	7200	4300			
NP_002733.2	PRKD1	PRKD1			1200			1200									520					8400													27	2400	310			
NP_057541.2	PRKD2	PRKD2			950			3900									1100							890				6300							72	3700	380			
NP_005804.1	PRKD3	PRKD3			1500			750									170					4200						3200							18	2700	280			
NP_006249.1	PRKG1	PRKG1																										250							32					
NP_006250.1	PRKG2	PRKG2																						3100				74							16					
NP_002750.1	EIF2AK2	PRKR			1100				2800	950					1900	1300	5200			1900		6300						6900							360	1300	670			
NP_005035.1	PRKX	PRKX																										960							13					
NP_722560.1	PTK2	PTK2					7100																												64	1200	440			
NP_775267.1	PTK2B	PTK2B			520		990																			2000		660							3.5	600	82	2600		
NP_005966.1	PTK6	PTK6		1000						3600	3800			7.8						2300									2400		6800	3900			2300					160
NP_002871.1	RAF1	RAF1		880	930					390				570						900	1700						3700				1900	980		230						
NP_065681.1	RET	RET	100	14	17	80	500		71	150	4200			730		1300				310		1000						350						13	15	37	12	28		34
NP_065681.1	RET	RET(M918T)	120	20	4.5	120	240		47	72	840			390		330				270		4200						130	7600					7.4	28	24	19	26		14
NP_113668.2	RIOK1	RIOK1							420													1100		810				1200							130	590	35	360		
NP_003822.2	RIOK3	RIOK3							690													1200						420							76	9700	3800	600		
NP_003795.2	RIPK1	RIPK1	2800		210				320											260		1800														1200	370	20		
NP_003812.1	RIPK2	RIPK2			1100	1800				950	300			31		680		530		580			3600								150	24	3400	1300	5200					4.6
NP_002935.2	ROS1	ROS1			1700															920						3100		430							30			610		
NP_002944.2	RPS6KA1	RPS6KA1(Kin.Dom.1 - N-terminal)							450								2300					4000		400				690							43	180	140			
NP_002944.2	RPS6KA1 	RPS6KA1(Kin.Dom.2 - C-terminal)									6200						720														170	320	1300		1200	5800	5000			400
NP_066958.2	RPS6KA2	RPS6KA2(Kin.Dom.1 - N-terminal)							310													410		280				730							8.9	260	17	2000		
NP_001006933.1	RPS6KA2	RPS6KA2(Kin.Dom.2 - C-terminal)			1100							1400			8700		1500																		190	9600	8400			
NP_004577.1	RPS6KA3	RPS6KA3(Kin.Dom.1 - N-terminal)							5600															3600				740							69	2100	580	6400		
NP_001006945.1	RPS6KA4	RPS6KA4(Kin.Dom.1 - N-terminal)	7200		1900				590								1300					3000		6100				260							120	200	96			
NP_003933.1	RPS6KA4	RPS6KA4(Kin.Dom.2 - C-terminal)														7000																			2200	2000	2000			
NP_872198.1	RPS6KA5	RPS6KA5(Kin.Dom.1 - N-terminal)	1200		730				680															1300				240							42	150	28			
NP_004746.2	RPS6KA5	RPS6KA5(Kin.Dom.2 - C-terminal)																																	890	1500	1700			
NP_055311.1	RPS6KA6	RPS6KA6(Kin.Dom.1 - N-terminal)							4600															2300				1500							18	3100	2400			
NP_055311.1	RPS6KA6	RPS6KA6(Kin.Dom.2 - C-terminal)			3400							1200					800														270	250		7500	3300					240
NP_001012418.1	RP11-145H9.1	SgK085							80																			640							470	32	15	2200		
NP_055535.2	SLK	SLK	450	1300	23		150		300	510	1800			720	360	26		920				48		400				220			3200	3700		1000	0.024	460	56	82		95
NP_112214.1	NUAK2	SNARK						1700	130			420			2700		1400					26		320				63							0.086	400	150	530		
NP_775490.2	SNF1LK	SNF1LK			1700									3.9						2200		2200				1700		160							2.2	2700	3200	2500		1900
NP_056006.1	SNF1LK2 	SNF1LK2							3700		4900			6.4	4500			2100		7300		1600						560							1.1	750	580	1700		430
NP_005408.1	SRC	SRC			340				1800	1100	1100			0.21	280	700		3800		2800						800		1200				5300			86	4900	2100	170	5500	70
NP_543013.1	SRMS	SRMS			72	7900					6700			13			1400			2500														9800	740	62				1900
NP_003128.3	SRPK1	SRPK1							420													2800						42							5.5	4000	250	82		
AAC05299.1	SRPK2	SRPK2							290																			330							67	200	190	680		
CAA06700.1	STK16	STK16																		360		140						280							270	730	250	610		
